"indicateurs","sexe","zones-géographiques","culture","Unit","Date","Value"
"Nombre d'exploitations de Manioc","Total","POBE","Manioc","Nombre","2019","5237"
"Nombre d'exploitations de Manioc","Total","SAKETE","Manioc","Nombre","2019","6976"
"Nombre d'exploitations de Manioc","Total","ZOU","Manioc","Nombre","2019","31047"
"Nombre d'exploitations de Manioc","Total","ABOMEY","Manioc","Nombre","2019","1092"
"Nombre d'exploitations de Manioc","Total","AGBANGNIZOUN","Manioc","Nombre","2019","1624"
"Nombre d'exploitations de Manioc","Total","BOHICON","Manioc","Nombre","2019","668"
"Nombre d'exploitations de Manioc","Total","COVE","Manioc","Nombre","2019","3379"
"Nombre d'exploitations de Manioc","Total","DJIDJA","Manioc","Nombre","2019","5847"
"Nombre d'exploitations de Manioc","Total","OUINHI","Manioc","Nombre","2019","6015"
"Nombre d'exploitations de Manioc","Total","ZAGNANADO","Manioc","Nombre","2019","4713"
"Nombre d'exploitations de Manioc","Total","ZA KPOTA","Manioc","Nombre","2019","3172"
"Nombre de producteurs de Patate douce","Total","ZA KPOTA","Patate douce","Nombre","2019","259"
"Nombre de producteurs de Manioc","Total","BENIN","Manioc","Nombre","2019","574920"
"Nombre de producteurs de Manioc","Total","ALIBORI","Manioc","Nombre","2019","3423"
"Nombre de producteurs de Manioc","Total","BANIKOARA","Manioc","Nombre","2019","524"
"Nombre de producteurs de Manioc","Total","GOGOUNOU","Manioc","Nombre","2019","562"
"Nombre de producteurs de Manioc","Total","KANDI","Manioc","Nombre","2019","733"
"Nombre de producteurs de Manioc","Total","KARIMAMA","Manioc","Nombre","2019","221"
"Nombre de producteurs de Manioc","Total","MALANVILLE","Manioc","Nombre","2019","835"
"Nombre de producteurs de Manioc","Total","SEGBANA","Manioc","Nombre","2019","548"
"Nombre de producteurs de Manioc","Total","ATACORA","Manioc","Nombre","2019","33761"
"Nombre de producteurs de Manioc","Total","BOUKOMBE","Manioc","Nombre","2019","400"
"Nombre de producteurs de Manioc","Total","COBLY","Manioc","Nombre","2019","108"
"Nombre de producteurs de Manioc","Total","KEROU","Manioc","Nombre","2019","2093"
"Nombre de producteurs de Manioc","Total","KOUANDE","Manioc","Nombre","2019","11105"
"Nombre de producteurs de Manioc","Total","MATERI","Manioc","Nombre","2019","336"
"Nombre de producteurs de Manioc","Total","NATITINGOU","Manioc","Nombre","2019","6240"
"Nombre de producteurs de Manioc","Total","OUASSA-PEHUNCO","Manioc","Nombre","2019","5754"
"Nombre de producteurs de Manioc","Total","TANGUIETA","Manioc","Nombre","2019","2537"
"Nombre de producteurs de Manioc","Total","TOUCOUNTOUNA","Manioc","Nombre","2019","5188"
"Nombre de producteurs de Manioc","Total","ATLANTIQUE","Manioc","Nombre","2019","68792"
"Nombre de producteurs de Manioc","Total","ABOMEY CALAVI","Manioc","Nombre","2019","9689"
"Nombre de producteurs de Manioc","Total","ALLADA","Manioc","Nombre","2019","10167"
"Nombre de producteurs de Manioc","Total","KPOMASSE","Manioc","Nombre","2019","8455"
"Nombre de producteurs de Manioc","Total","OUIDAH","Manioc","Nombre","2019","3550"
"Nombre de producteurs de Manioc","Total","SO AVA","Manioc","Nombre","2019","1893"
"Nombre de producteurs de Manioc","Total","TOFFO","Manioc","Nombre","2019","12690"
"Nombre de producteurs de Manioc","Total","TORI BOSSITO","Manioc","Nombre","2019","9010"
"Nombre de producteurs de Manioc","Total","ZE","Manioc","Nombre","2019","13338"
"Nombre de producteurs de Manioc","Total","BORGOU","Manioc","Nombre","2019","54218"
